2017-08-13 16:33:19,273 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
 2017-08-13 16:33:19,285 - Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext]
 2017-08-13 16:33:19,313 - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@28d25987, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4501b7af, org.springframework.test.context.support.DirtiesContextTestExecutionListener@523884b2, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5b275dab, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@61832929]
 2017-08-13 16:33:19,611 - Loading XML bean definitions from URL [file:/D:/EclipseWorkSpace/SpringFramework/SpringFramework/target/classes/applicationContext.xml]
 2017-08-13 16:33:20,736 - Loading XML bean definitions from URL [file:/D:/EclipseWorkSpace/SpringFramework/SpringFramework/target/classes/springPersistenceConfiguration.xml]
 2017-08-13 16:33:20,978 - Loading XML bean definitions from URL [file:/D:/EclipseWorkSpace/SpringFramework/SpringFramework/target/classes/springThreadpoolConfiguration.xml]
 2017-08-13 16:33:21,046 - Refreshing org.springframework.context.support.GenericApplicationContext@20322d26: startup date [Sun Aug 13 16:33:21 CST 2017]; root of context hierarchy
 2017-08-13 16:33:21,452 - Loading properties file from URL [file:/D:/EclipseWorkSpace/SpringFramework/SpringFramework/target/classes/dataSource.properties]
 2017-08-13 16:33:21,906 - Initializing ExecutorService  'taskExecutor'
 2017-08-13 16:33:22,164 - Loaded JDBC driver: com.mysql.cj.jdbc.Driver
 2017-08-13 16:33:22,726 - HHH000412: Hibernate Core {5.0.2.Final}
 2017-08-13 16:33:22,730 - HHH000206: hibernate.properties not found
 2017-08-13 16:33:22,736 - HHH000021: Bytecode provider name : javassist
 2017-08-13 16:33:22,878 - HCANN000001: Hibernate Commons Annotations {5.0.0.Final}
 2017-08-13 16:33:23,405 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
 2017-08-13 16:33:28,632 - http://paimai.jd.com/102864322, current thread:138
 2017-08-13 16:33:28,634 - http://paimai.jd.com/103524628, current thread:140
 2017-08-13 16:33:28,640 - http://paimai.jd.com/103524684, current thread:139
 2017-08-13 16:33:28,644 - http://paimai.jd.com/103524694, current thread:144
 2017-08-13 16:33:28,648 - http://paimai.jd.com/103531460, current thread:143
 2017-08-13 16:33:28,664 - http://paimai.jd.com/103524685, current thread:156
 2017-08-13 16:33:28,664 - http://paimai.jd.com/103524644, current thread:152
 2017-08-13 16:33:28,664 - http://paimai.jd.com/103523032, current thread:148
 2017-08-13 16:33:28,670 - http://paimai.jd.com/103524659, current thread:160
 2017-08-13 16:33:28,672 - http://paimai.jd.com/103524632, current thread:164
 2017-08-13 16:33:28,674 - http://paimai.jd.com/103524699, current thread:168
 2017-08-13 16:33:28,676 - http://paimai.jd.com/103524629, current thread:147
 2017-08-13 16:33:28,687 - http://paimai.jd.com/103524646, current thread:151
 2017-08-13 16:33:28,688 - http://paimai.jd.com/103524621, current thread:155
 2017-08-13 16:33:28,689 - http://paimai.jd.com/103524669, current thread:159
 2017-08-13 16:33:28,691 - http://paimai.jd.com/103524722, current thread:163
 2017-08-13 16:33:28,692 - http://paimai.jd.com/103524653, current thread:167
 2017-08-13 16:33:28,694 - http://paimai.jd.com/103524630, current thread:171
 2017-08-13 16:33:28,695 - http://paimai.jd.com/103524680, current thread:175
 2017-08-13 16:33:28,696 - http://paimai.jd.com/103524682, current thread:179
 2017-08-13 16:33:28,697 - http://paimai.jd.com/102862269, current thread:183
 2017-08-13 16:33:28,699 - http://paimai.jd.com/103524636, current thread:187
 2017-08-13 16:33:28,699 - http://paimai.jd.com/103531546, current thread:191
 2017-08-13 16:33:28,700 - http://paimai.jd.com/103524697, current thread:195
 2017-08-13 16:33:28,701 - http://paimai.jd.com/103524675, current thread:199
 2017-08-13 16:33:28,702 - http://paimai.jd.com/103524732, current thread:203
 2017-08-13 16:33:28,702 - http://paimai.jd.com/103524664, current thread:207
 2017-08-13 16:33:28,703 - http://paimai.jd.com/103524693, current thread:211
 2017-08-13 16:33:28,662 - http://paimai.jd.com/103524638, current thread:154
 2017-08-13 16:33:28,662 - http://paimai.jd.com/103524662, current thread:150
 2017-08-13 16:33:28,662 - http://paimai.jd.com/103524657, current thread:146
 2017-08-13 16:33:28,662 - http://paimai.jd.com/103531576, current thread:142
 2017-08-13 16:33:29,846 - http://paimai.jd.com/103524661, current thread:213
 2017-08-13 16:33:29,848 - http://paimai.jd.com/103524651, current thread:209
 2017-08-13 16:33:29,849 - http://paimai.jd.com/103495439, current thread:205
 2017-08-13 16:33:29,850 - http://paimai.jd.com/103524620, current thread:201
 2017-08-13 16:33:29,851 - http://paimai.jd.com/103524623, current thread:197
 2017-08-13 16:33:29,852 - http://paimai.jd.com/103495360, current thread:193
 2017-08-13 16:33:29,853 - http://paimai.jd.com/103524654, current thread:189
 2017-08-13 16:33:29,854 - http://paimai.jd.com/103364141, current thread:185
 2017-08-13 16:33:29,855 - http://paimai.jd.com/103524641, current thread:181
 2017-08-13 16:33:29,856 - http://paimai.jd.com/103524642, current thread:177
 2017-08-13 16:33:29,857 - http://paimai.jd.com/103524734, current thread:173
 2017-08-13 16:33:29,858 - http://paimai.jd.com/103524678, current thread:169
 2017-08-13 16:33:29,920 - http://paimai.jd.com/103524624, current thread:165
 2017-08-13 16:33:29,940 - http://paimai.jd.com/103357679, current thread:161
 2017-08-13 16:33:29,944 - http://paimai.jd.com/103524655, current thread:157
 2017-08-13 16:33:30,209 - http://paimai.jd.com/103472520, current thread:153
 2017-08-13 16:33:30,212 - http://paimai.jd.com/103531428, current thread:149
 2017-08-13 16:33:30,238 - http://paimai.jd.com/103524666, current thread:145
 2017-08-13 16:33:30,240 - http://paimai.jd.com/103523063, current thread:141
 2017-08-13 16:33:30,246 - http://paimai.jd.com/103407249, current thread:137
 2017-08-13 16:33:30,270 - http://paimai.jd.com/103524665, current thread:133
 2017-08-13 16:33:30,271 - http://paimai.jd.com/103523040, current thread:129
 2017-08-13 16:33:30,271 - http://paimai.jd.com/103448885, current thread:125
 2017-08-13 16:33:30,272 - http://paimai.jd.com/103359526, current thread:121
 2017-08-13 16:33:30,272 - http://paimai.jd.com/103523014, current thread:117
 2017-08-13 16:33:30,362 - http://paimai.jd.com/103524676, current thread:214
 2017-08-13 16:33:30,384 - http://paimai.jd.com/103523057, current thread:194
 2017-08-13 16:33:30,383 - http://paimai.jd.com/103523061, current thread:202
 2017-08-13 16:33:30,386 - http://paimai.jd.com/103523027, current thread:198
 2017-08-13 16:33:30,394 - http://paimai.jd.com/103531511, current thread:170
 2017-08-13 16:33:30,363 - http://paimai.jd.com/103495483, current thread:210
 2017-08-13 16:33:30,363 - http://paimai.jd.com/102864374, current thread:206
 2017-08-13 16:33:30,396 - http://paimai.jd.com/102882667, current thread:166
 2017-08-13 16:33:30,387 - http://paimai.jd.com/103524727, current thread:186
 2017-08-13 16:33:30,387 - http://paimai.jd.com/103524647, current thread:182
 2017-08-13 16:33:30,415 - http://paimai.jd.com/103524639, current thread:158
 2017-08-13 16:33:30,387 - http://paimai.jd.com/102863907, current thread:190
 2017-08-13 16:33:30,386 - http://paimai.jd.com/103524634, current thread:178
 2017-08-13 16:33:30,386 - http://paimai.jd.com/103524688, current thread:174
 2017-08-13 16:33:30,396 - http://paimai.jd.com/103524633, current thread:162
 2017-08-13 16:33:30,545 - http://paimai.jd.com/103524690, current thread:212
 2017-08-13 16:33:30,546 - http://paimai.jd.com/103524663, current thread:208
 2017-08-13 16:33:30,546 - http://paimai.jd.com/103524637, current thread:204
 2017-08-13 16:33:30,546 - http://paimai.jd.com/103531465, current thread:200
 2017-08-13 16:33:30,547 - http://paimai.jd.com/103495576, current thread:196
 2017-08-13 16:33:30,547 - http://paimai.jd.com/103524674, current thread:192
 2017-08-13 16:33:30,548 - http://paimai.jd.com/103523059, current thread:184
 2017-08-13 16:33:30,548 - http://paimai.jd.com/103531709, current thread:180
 2017-08-13 16:33:30,548 - http://paimai.jd.com/103524622, current thread:176
 2017-08-13 16:33:30,549 - http://paimai.jd.com/103531670, current thread:188
 2017-08-13 16:33:30,549 - http://paimai.jd.com/103524627, current thread:172
 2017-08-13 16:33:31,395 - http://paimai.jd.com/103536294, current thread:216
 2017-08-13 16:33:31,398 - thread sleep 20 s, current active thread : 200
 2017-08-13 16:33:31,655 - http://paimai.jd.com/103536278, current thread:216
 2017-08-13 16:33:32,495 - http://paimai.jd.com/103536213, current thread:216
 2017-08-13 16:33:32,801 - http://paimai.jd.com/103551906, current thread:216
 2017-08-13 16:33:32,926 - http://paimai.jd.com/103536220, current thread:53
 2017-08-13 16:33:33,142 - http://paimai.jd.com/103536189, current thread:53
 2017-08-13 16:33:34,029 - http://paimai.jd.com/103551798, current thread:216
 2017-08-13 16:33:34,213 - http://paimai.jd.com/103536258, current thread:216
 2017-08-13 16:33:35,268 - http://paimai.jd.com/103536269, current thread:45
 2017-08-13 16:33:35,596 - http://paimai.jd.com/103551815, current thread:100
 2017-08-13 16:33:35,728 - http://paimai.jd.com/103536197, current thread:53
 2017-08-13 16:33:35,745 - http://paimai.jd.com/103536386, current thread:45
 2017-08-13 16:33:35,869 - http://paimai.jd.com/103536018, current thread:100
 2017-08-13 16:33:36,025 - http://paimai.jd.com/103536297, current thread:51
 2017-08-13 16:33:36,213 - http://paimai.jd.com/103551912, current thread:94
 2017-08-13 16:33:36,217 - http://paimai.jd.com/103536249, current thread:51
 2017-08-13 16:33:36,292 - http://paimai.jd.com/103536232, current thread:53
 2017-08-13 16:33:36,321 - http://paimai.jd.com/103536172, current thread:45
 2017-08-13 16:33:36,403 - http://paimai.jd.com/103573730, current thread:51
 2017-08-13 16:33:36,405 - http://paimai.jd.com/103536164, current thread:94
 2017-08-13 16:33:36,468 - http://paimai.jd.com/103536381, current thread:53
 2017-08-13 16:33:36,678 - http://paimai.jd.com/103536182, current thread:53
 2017-08-13 16:33:36,902 - http://paimai.jd.com/103551783, current thread:100
 2017-08-13 16:33:36,959 - http://paimai.jd.com/103536283, current thread:45
 2017-08-13 16:33:37,029 - http://paimai.jd.com/103536413, current thread:23
 2017-08-13 16:33:37,139 - http://paimai.jd.com/103536339, current thread:53
 2017-08-13 16:33:37,151 - http://paimai.jd.com/103536377, current thread:45
 2017-08-13 16:33:37,220 - http://paimai.jd.com/103536206, current thread:23
 2017-08-13 16:33:37,317 - http://paimai.jd.com/103536228, current thread:94
 2017-08-13 16:33:37,344 - http://paimai.jd.com/103551772, current thread:45
 2017-08-13 16:33:37,394 - http://paimai.jd.com/103536238, current thread:216
 2017-08-13 16:33:37,398 - http://paimai.jd.com/103551886, current thread:108
 2017-08-13 16:33:37,511 - http://paimai.jd.com/103551788, current thread:100
 2017-08-13 16:33:37,537 - http://paimai.jd.com/103536006, current thread:45
 2017-08-13 16:33:37,721 - http://paimai.jd.com/103551877, current thread:45
 2017-08-13 16:33:37,981 - http://paimai.jd.com/103551711, current thread:100
 2017-08-13 16:33:38,052 - http://paimai.jd.com/103536346, current thread:53
 2017-08-13 16:33:38,093 - http://paimai.jd.com/103551807, current thread:23
 2017-08-13 16:33:38,196 - http://paimai.jd.com/103536503, current thread:94
